Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
"Air-Max-95-NYC-Blackout","Air Max 95 NYC Blackout","Air Max 95 NYC Blackout<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13589674855&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-max-95-nyc-blackout"" target=""_blank"">StockX</a></h3>","Physical","Air, Max, 95, NYC, Blackout","men","TRUE","http://stockx.imgix.net/Nike-Air-Max-95-NYC-Blackout.jpg",,,,,,,,"105130.00",,,,,,,"1"
"Jordan-3-Retro-DJ-Khaled-Father-of-Asahd","Jordan 3 Retro DJ Khaled Father of Asahd","Jordan 3 Retro DJ Khaled Father of Asahd<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13436237635&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-3-retro-dj-khaled-father-of-asahd"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 3, Retro, DJ, Khaled, Father, of, Asahd","men","TRUE","http://stockx.imgix.net/Air-Jordan-3-Retro-DJ-Khaled-Father-of-Asahd.png",,,,,,,,"70000.00",,,,,,,"1"
"adidas-TS-Lightswitch-Gil-EA-Sports-NBA-Live-08","adidas TS Lightswitch Gil EA Sports NBA Live 08","adidas TS Lightswitch Gil EA Sports NBA Live 08<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12678970886&type=15&murl=https%3A%2F%2Fstockx.com%2Fadidas-ts-lightswitch-gil-ea-sports-nba-live-08"" target=""_blank"">StockX</a></h3>","Physical","adidas, TS, Lightswitch, Gil, EA, Sports, NBA, Live, 08","men","TRUE","http://stockx.imgix.net/Adidas-TS-Lightswitch-Gil-EA-Sports-NBA-Live-08.png",,,,,,,,"60000.00",,,,,,,"1"
"Jordan-1-Retro-Fragment-Friends-and-Family","Jordan 1 Retro Fragment Friends and Family","Jordan 1 Retro Fragment Friends and Family<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12976467688&type=15&murl=https%3A%2F%2Fstockx.com%2Fjordan-1-retro-fragment-friends-and-family"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 1, Retro, Fragment, Friends, and, Family","men","TRUE","http://stockx.imgix.net/Air-Jordan-1-Retro-Fragment-Friends-And-Family.jpg",,,,,,,,"40000.00",,,,,,,"1"
"Jordan-8-Retro-Kentucky-Madness-PE","Jordan 8 Retro Kentucky Madness PE","Jordan 8 Retro Kentucky Madness PE<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13509495507&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-8-retro-kentucky-madness-pe"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 8, Retro, Kentucky, Madness, PE","men","TRUE","http://stockx.imgix.net/Air-Jordan-8-Retro-Kentucky-Madness-PE.png",,,,,,,,"40000.00",,,,,,,"1"
"Jordan-14-Retro-OVO-Gods-Plan","Jordan 14 Retro OVO God's Plan","Jordan 14 Retro OVO God's Plan<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13513844223&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-14-retro-ovo-gods-plan"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 14, Retro, OVO, Gods, Plan","men","TRUE","http://stockx.imgix.net/Air-Jordan-14-Retro-OVO-Gods-Plan.png",,,,,,,,"39000.00",,,,,,,"1"
"Jordan-11-Retro-Premium-Derek-Jeter","Jordan 11 Retro Premium Derek Jeter","Jordan 11 Retro Premium Derek Jeter<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.12690191388&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-11-retro-premium-derek-jeter"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 11, Retro, Premium, Derek, Jeter","men","TRUE","http://stockx.imgix.net/Air-Jordan-11-Retro-Premium-Derek-Jeter.png",,,,,,,,"37000.00",,,,,,,"1"
"Jordan-4-Retro-Eminem-Encore-2017","Jordan 4 Retro Eminem Encore (2017)","Jordan 4 Retro Eminem Encore (2017)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13497244472&type=15&murl=https%3A%2F%2Fstockx.com%2Fair-jordan-4-retro-eminem-encore-2017"" target=""_blank"">StockX</a></h3>","Physical","Jordan, 4, Retro, Eminem, Encore, 2017","men","TRUE","http://stockx.imgix.net/Air-Jordan-4-Retro-Eminem-Encore-2017-Charity-Campaign-2.jpg",,,,,,,,"35000.00",,,,,,,"1"
"Nike-Air-MAG-Back-To-the-Future-2016","Nike Air MAG Back To the Future (2016)","Nike Air MAG Back To the Future (2016)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13209471288&type=15&murl=https%3A%2F%2Fstockx.com%2Fnike-air-mag-back-to-the-future-bttf-2016"" target=""_blank"">StockX</a></h3>","Physical","Nike, Air, MAG, Back, To, the, Future, 2016","men","TRUE","http://stockx.imgix.net/Nike-Air-Mag-Back-To-The-Future-BTTF-2016.png",,,,,,,,"35000.00",,,,,,,"1"
"adidas-Human-Race-NMD-Pharrell-x-Chanel-Sample","adidas Human Race NMD Pharrell x Chanel (Sample)","adidas Human Race NMD Pharrell x Chanel (Sample)<p><h3 style=""white-space: pre-wrap;""><strong>Buy now:</strong></h3></p><h3 style=""white-space: pre-wrap;""><a href=""http://click.linksynergy.com/link?id=0S*AdsZlLxY&offerid=582746.13209494049&type=15&murl=https%3A%2F%2Fstockx.com%2Fadidas-human-race-nmd-pharrell-x-chanel-sample"" target=""_blank"">StockX</a></h3>","Physical","adidas, Human, Race, NMD, Pharrell, x, Chanel, Sample","men","TRUE","http://stockx.imgix.net/Adidas-Human-Race-NMD-Pharrell-x-Chanel-Black.png",,,,,,,,"30000.00",,,,,,,"1"
